C	C*	Prob(w,v)
167	336.0	5.623468608994871E-4
168	338.0	5.656941636429365E-4
169	85.0	1.4226036659659646E-4
17	14.446601941747574	2.4178575156566025E-5
170	85.5	1.430971922824588E-4
171	344.0	5.757360718732845E-4
172	86.5	1.4477084365418347E-4
173	696.0	0.0011648613547203663
174	43.75	7.322224751295406E-5
175	176.0	2.945626414235409E-4
176	708.0	0.0011849451711810623
177	133.5	2.2343245812524268E-4
178	59.666666666666664	9.986119851290496E-5
18	17.008064516129032	2.8465570507800943E-5
181	364.0	6.092090993077778E-4
184	61.666666666666664	1.0320850125635429E-4
188	37.800000000000004	6.326402185119232E-5
189	380.0	6.359875212553724E-4
19	18.82882882882883	3.1512895197338274E-5
195	98.0	1.640178344290171E-4
196	394.0	6.594186404595177E-4
199	66.66666666666666	1.115767581149776E-4
2	1.2331175275270545	2.0638088414433813E-6
20	18.086124401913878	3.0269866914446084E-5
200	201.0	3.364039257166575E-4
201	808.0	0.0013523103083535287
206	828.0	0.001385783335788022
207	52.0	8.702987132968254E-5
208	418.0	6.995862733809097E-4
209	105.0	1.7573339403108976E-4
21	22.12222222222222	3.702488756782007E-5
214	430.0	7.196700898416057E-4
215	324.0	5.422630444387913E-4
216	144.66666666666666	2.421215651095014E-4
219	220.0	3.6820330177942615E-4
22	16.519337016574585	2.7647611057772078E-5
220	663.0	0.0011096308594534523
221	74.0	1.2385020150762515E-4
226	113.5	1.8995943069074938E-4
227	228.0	3.8159251275322344E-4
23	22.707692307692305	3.800476037947083E-5
239	240.0	4.016763292139194E-4
24	21.951219512195124	3.6738688647614586E-5
243	244.0	4.0837093470081807E-4
249	250.0	4.1841284293116606E-4
25	28.166666666666664	4.714118030357804E-5
252	506.0	8.468675940926802E-4
253	127.0	2.1255372420903235E-4
256	514.0	8.602568050664775E-4
26	23.53846153846154	3.9395178442134405E-5
261	87.33333333333333	1.4616555313062067E-4
264	265.0	4.43517613507036E-4
265	798.0	0.0013355737946362822
266	89.0	1.4895497208349513E-4
267	268.0	4.4853856762221004E-4
27	28.274509803921568	4.73216721181758E-5
28	24.213592233009706	4.052511185515837E-5
285	286.0	4.7866429231325396E-4
286	287.0	4.8033794368497864E-4
289	290.0	4.8535889780015266E-4
29	33.83720930232558	5.6631691764171784E-5
290	291.0	4.870325491718773E-4
299	300.0	5.020954115173993E-4
3	2.248792825936997	3.763695197854039E-6
30	25.88659793814433	4.332514014846012E-5
31	34.370370370370374	5.7524017517055135E-5
310	155.5	2.602527883031853E-4
319	640.0	0.0010711368779037851
32	25.034482758620687	4.189899640938297E-5
327	328.0	5.489576499256899E-4
33	31.424242424242422	5.2593226438741716E-5
333	668.0	0.0011179991163120758
34	32.131147540983605	5.3776339157054784E-5
342	343.0	5.740624205015599E-4
343	344.0	5.757360718732845E-4
346	115.66666666666666	1.9358567532948615E-4
35	32.785714285714285	5.4871855687258636E-5
36	39.90196078431372	6.678197140117042E-5
361	362.0	6.058617965643285E-4
368	738.0	0.0012351547123328021
37	46.981818181818184	7.863118444611878E-5
38	34.411764705882355	5.759329720346639E-5
39	30.666666666666668	5.1325308732889704E-5
399	200.0	3.3473027434493283E-4
4	3.116564417177914	5.216042311878094E-6
40	47.23913043478261	7.906183545125425E-5
406	203.5	3.405880541459692E-4
407	408.0	6.82849759663663E-4
41	31.698113207547173	5.3051590650895026E-5
42	43.0	7.196700898416057E-5
420	421.0	7.046072274960837E-4
43	41.8	6.995862733809096E-5
433	434.0	7.263646953285043E-4
44	62.763157894736835	1.05043645304298E-4
45	34.716981132075475	5.810412309383741E-5
46	31.725	5.3096589767964975E-5
47	53.333333333333336	8.92614064919821E-5
48	55.53333333333333	9.294343950977635E-5
49	42.64705882352941	7.137630850002245E-5
499	500.0	8.368256858623321E-4
5	4.224409448818898	7.070188668742382E-6
50	29.89655172413793	5.003640480294082E-5
51	58.11764705882353	9.72686797214099E-5
52	92.05263157894737	1.540640131129704E-4
53	26.181818181818183	4.3819235914245755E-5
54	65.3125	1.0931035521576713E-4
55	64.84210526315789	1.0852307841919928E-4
56	54.409090909090914	9.106184963429197E-5
57	80.09523809523809	1.340515051067088E-4
58	44.75862068965517	7.491032691374531E-5
59	68.18181818181819	1.1411259352668167E-4
6	5.300559179869525	8.871288142296392E-6
60	34.160000000000004	5.717193085811454E-5
61	53.14285714285714	8.894261575451072E-5
62	94.5	1.5816005462798079E-4
63	81.77777777777777	1.3686748995437253E-4
64	39.56521739130435	6.621838035954107E-5
646	647.0	0.0010828524375058577
65	84.85714285714286	1.4202127354349294E-4
66	37.22222222222222	6.22970232808625E-5
67	129.2	2.162357572268266E-4
68	43.57894736842105	7.293596504147484E-5
69	140.0	2.3431119204145298E-4
7	6.001230769230769	1.004396810895934E-5
70	41.41666666666667	6.931706097892985E-5
71	108.0	1.8075434814626373E-4
72	41.714285714285715	6.981517150622885E-5
73	86.33333333333334	1.4449190175889603E-4
74	96.42857142857143	1.6138781084487833E-4
75	46.44444444444445	7.773180815343441E-5
76	84.0	1.4058671522487179E-4
77	110.5	1.8493847657557541E-4
78	37.1764705882353	6.222045099588164E-5
79	220.0	3.6820330177942615E-4
8	7.360951599671862	1.2319666741989674E-5
80	47.86363636363637	8.010704065573053E-5
81	44.15384615384615	7.38981451823044E-5
82	201.57142857142856	3.373602979290716E-4
83	69.17647058823529	1.1577729489107089E-4
84	30.357142857142858	5.080727378449874E-5
85	189.20000000000002	3.1665483953030653E-4
86	55.36363636363636	9.265942594366549E-5
87	125.71428571428572	2.1040188673110066E-4
88	53.4	8.937298325009708E-5
89	150.0	2.5104770575869965E-4
90	45.5	7.615113741347223E-5
91	110.39999999999999	1.847711114384029E-4
92	124.0	2.0753277009385836E-4
928	929.0	0.0015548221243322131
93	82.25	1.3765782532435363E-4
94	40.714285714285715	6.814152013450419E-5
95	352.0	5.891252828470818E-4
96	97.0	1.6234418305729244E-4
97	98.0	1.640178344290171E-4
98	63.0	1.0544003641865385E-4
